# Evidência [011] — Subida da camada de dados (mysql, es, mailpit)
# Data:    2026-08-11 14:32:11 -03
# Comando: docker compose up -d mysql es mailpit
# ---------------------------------------------------------
 Image axllent/mailpit:latest Pulling 
 ec7aabb6b04e Pulling fs layer 0B
 55afa1ecc21d Pulling fs layer 0B
 2ee0d20bc50e Pulling fs layer 0B
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 1.049MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 2.097MB
 2ee0d20bc50e Downloading 3.146MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 5.243MB
 2ee0d20bc50e Downloading 8.389MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
 ec7aabb6b04e Downloading 364.5kB
 2ee0d20bc50e Downloading 10.15MB
 283ef135fd4c Downloading 20.05kB
